person1&ImgN,person2&ImgN,distance,Retina on person1,Retina on person2,LightCNN on person1,LightCNN on person2
Abel_Pacheco&1,Abel_Pacheco&4,[0.44204938]
Akhmed_Zakayev&1,Akhmed_Zakayev&3,[0.30912638]
Akhmed_Zakayev&2,Akhmed_Zakayev&3,[0.4382819]
Amber_Tamblyn&1,Amber_Tamblyn&2,[0.26683933]
Anders_Fogh_Rasmussen&1,Anders_Fogh_Rasmussen&3,[0.4269703]
Anders_Fogh_Rasmussen&1,Anders_Fogh_Rasmussen&4,[0.5795487]
Angela_Bassett&1,Angela_Bassett&5,[0.2998855]
Angela_Bassett&2,Angela_Bassett&5,[0.5689785]
Angela_Bassett&3,Angela_Bassett&4,[0.5698395]
Ann_Veneman&3,Ann_Veneman&5,[0.32155812]
Ann_Veneman&6,Ann_Veneman&10,[0.5646643]
Ann_Veneman&10,Ann_Veneman&11,[0.5990896]
Anthony_Fauci&1,Anthony_Fauci&2,[0.32748592]
Antony_Leung&1,Antony_Leung&2,[0.32321]
Antony_Leung&2,Antony_Leung&3,[0.37738705]
Anwar_Ibrahim&1,Anwar_Ibrahim&2,[0.5030319]
Augusto_Pinochet&1,Augusto_Pinochet&2,[0.29026842]
Barbara_Brezigar&1,Barbara_Brezigar&2,[0.48757625]
Benjamin_Netanyahu&1,Benjamin_Netanyahu&4,[0.48025662]
Benjamin_Netanyahu&4,Benjamin_Netanyahu&5,[0.38168252]
Bernard_Law&2,Bernard_Law&3,[0.4990872]
Bernard_Law&3,Bernard_Law&4,[0.472924]
Bertrand_Bonello&1,Bertrand_Bonello&2,[0.43554932]
Bill_Frist&2,Bill_Frist&9,[0.55363613]
Bill_Frist&4,Bill_Frist&5,[0.683028]
Bob_Graham&2,Bob_Graham&4,[0.40940595]
Bob_Graham&3,Bob_Graham&6,[0.3584221]
Bob_Graham&4,Bob_Graham&6,[0.42278528]
Bob_Graham&5,Bob_Graham&6,[0.4077667]
Boris_Becker&2,Boris_Becker&6,[0.47109115]
Brad_Johnson&1,Brad_Johnson&3,[0.44394827]
Brad_Johnson&2,Brad_Johnson&3,[0.41640127]
Brad_Johnson&2,Brad_Johnson&4,[0.5132058]
Brian_Griese&1,Brian_Griese&2,[0.30534518]
Candice_Bergen&1,Candice_Bergen&2,[0.5235386]
Candice_Bergen&2,Candice_Bergen&3,[0.49141705]
Carla_Myers&1,Carla_Myers&2,[0.29793757]
Cathy_Freeman&1,Cathy_Freeman&2,[0.5736048]
Chang_Dae-whan&1,Chang_Dae-whan&2,[0.35820913]
Charles_Grassley&1,Charles_Grassley&2,[0.47739398]
Clare_Short&1,Clare_Short&3,[0.44769436]
Clare_Short&1,Clare_Short&4,[0.4482062]
Corinne_Coman&1,Corinne_Coman&2,[0.37792033]
Dai_Bachtiar&1,Dai_Bachtiar&2,[0.36315858]
Dale_Earnhardt_Jr&1,Dale_Earnhardt_Jr&3,[0.6001322]
David_Caruso&1,David_Caruso&2,[0.35048515]
Demi_Moore&1,Demi_Moore&3,[0.38559556]
Dick_Vermeil&1,Dick_Vermeil&2,[0.49276227]
Doris_Roberts&1,Doris_Roberts&2,[0.44663173]
Doris_Roberts&1,Doris_Roberts&3,[0.28017175]
Drew_Barrymore&1,Drew_Barrymore&2,[0.55142856]
Edmund_Stoiber&4,Edmund_Stoiber&7,[0.41573447]
Edmund_Stoiber&5,Edmund_Stoiber&7,[0.5760366]
Edmund_Stoiber&7,Edmund_Stoiber&12,[0.49982506]
Edmund_Stoiber&9,Edmund_Stoiber&11,[0.5866731]
Elinor_Caplan&1,Elinor_Caplan&2,[0.37382746]
Emmanuelle_Beart&1,Emmanuelle_Beart&2,[0.34418046]
Emmanuelle_Beart&1,Emmanuelle_Beart&3,[0.22290993]
Federico_Trillo&1,Federico_Trillo&2,[0.48329812]
Federico_Trillo&1,Federico_Trillo&3,[0.53928125]
Federico_Trillo&2,Federico_Trillo&3,[0.39791662]
Francis_Ford_Coppola&1,Francis_Ford_Coppola&2,[0.5680434]
Fred_Thompson&1,Fred_Thompson&2,[0.4730575]
Fred_Thompson&1,Fred_Thompson&3,[0.5734665]
Fred_Thompson&2,Fred_Thompson&3,[0.4827156]
Garry_Trudeau&1,Garry_Trudeau&2,[0.44429916]
Gary_Williams&1,Gary_Williams&2,[0.4788953]
Gene_Robinson&1,Gene_Robinson&2,[0.40768802]
Gene_Robinson&1,Gene_Robinson&3,[0.35889077]
Gene_Robinson&2,Gene_Robinson&3,[0.48045796]
George_Galloway&1,George_Galloway&3,[0.6767994]
George_Galloway&2,George_Galloway&3,[0.29232746]
George_Galloway&2,George_Galloway&4,[0.62997174]
Geraldine_Chaplin&1,Geraldine_Chaplin&2,[0.45467234]
Geraldine_Chaplin&1,Geraldine_Chaplin&4,[0.47708666]
Geraldine_Chaplin&3,Geraldine_Chaplin&4,[0.22558242]
Gerardo_Gambala&1,Gerardo_Gambala&2,[0.4157945]
Gian_Marco&1,Gian_Marco&2,[0.40837556]
Gian_Marco&2,Gian_Marco&3,[0.54270005]
Gillian_Anderson&1,Gillian_Anderson&2,[0.4613986]
Gordon_Brown&6,Gordon_Brown&9,[0.46410722]
Gordon_Brown&10,Gordon_Brown&13,[0.6142998]
Grant_Hackett&1,Grant_Hackett&2,[0.32030147]
Grant_Hackett&1,Grant_Hackett&3,[0.3857894]
Grant_Hackett&1,Grant_Hackett&5,[0.38616383]
Gray_Davis&7,Gray_Davis&22,[0.35039485]
Gray_Davis&21,Gray_Davis&26,[0.40401918]
Gregg_Popovich&1,Gregg_Popovich&5,[0.4828471]
Gregg_Popovich&3,Gregg_Popovich&4,[0.5580896]
Guy_Ritchie&1,Guy_Ritchie&2,[0.6021676]
Hamzah_Haz&1,Hamzah_Haz&2,[0.52778125]
Harbhajan_Singh&1,Harbhajan_Singh&2,[0.49205184]
Hootie_Johnson&1,Hootie_Johnson&2,[0.7008556]
Hugo_Chavez&2,Hugo_Chavez&27,[0.48115808]
Hugo_Chavez&27,Hugo_Chavez&53,[0.43856955]
Hugo_Chavez&36,Hugo_Chavez&51,[0.40767777]
Hugo_Chavez&41,Hugo_Chavez&50,[0.28348768]
Hugo_Chavez&45,Hugo_Chavez&56,[0.39422083]
Isaiah_Washington&1,Isaiah_Washington&2,[0.605385]
Jack_Grubman&1,Jack_Grubman&2,[0.3497957]
Jacques_Rogge&1,Jacques_Rogge&9,[0.4133811]
Jacques_Rogge&3,Jacques_Rogge&7,[0.4399835]
Jacques_Rogge&3,Jacques_Rogge&10,[0.36667198]
Jacques_Rogge&4,Jacques_Rogge&6,[0.37553227]
Jacques_Rogge&4,Jacques_Rogge&9,[0.41201067]
Jacques_Rogge&5,Jacques_Rogge&8,[0.48206127]
Jacques_Rogge&6,Jacques_Rogge&8,[0.41891032]
James_Caan&1,James_Caan&2,[0.43560398]
James_Caan&1,James_Caan&3,[0.45654213]
James_Caan&2,James_Caan&3,[0.46674597]
James_Jones&1,James_Jones&2,[0.5004525]
Jamling_Norgay&1,Jamling_Norgay&2,[0.29033536]
Janica_Kostelic&1,Janica_Kostelic&2,[0.5047691]
Jeanne_Moreau&1,Jeanne_Moreau&2,[0.3452394]
Jeffrey_Archer&1,Jeffrey_Archer&2,[0.4548086]
Jennifer_Garner&1,Jennifer_Garner&3,[0.5204417]
Jennifer_Garner&4,Jennifer_Garner&9,[0.50221765]
Jennifer_Garner&5,Jennifer_Garner&6,[0.4040848]
Jennifer_Garner&5,Jennifer_Garner&9,[0.322744]
Jennifer_Garner&7,Jennifer_Garner&12,[0.42852056]
Jennifer_Garner&8,Jennifer_Garner&11,[0.48491693]
Jeremy_Greenstock&2,Jeremy_Greenstock&24,[0.37412274]
Jeremy_Greenstock&3,Jeremy_Greenstock&22,[0.64456725]
Jeremy_Greenstock&5,Jeremy_Greenstock&11,[0.57884175]
Jeremy_Greenstock&10,Jeremy_Greenstock&14,[0.44922364]
Jeremy_Greenstock&17,Jeremy_Greenstock&21,[0.46332026]
Jessica_Lange&1,Jessica_Lange&2,[0.4511428]
Jimmy_Carter&1,Jimmy_Carter&7,[0.4255587]
Jimmy_Carter&4,Jimmy_Carter&6,[0.38522726]
Jimmy_Carter&5,Jimmy_Carter&8,[0.50263834]
Jimmy_Carter&6,Jimmy_Carter&7,[0.41029978]
Jodie_Foster&1,Jodie_Foster&2,[0.3349017]
John_Manley&1,John_Manley&6,[0.7439257]
John_Manley&2,John_Manley&5,[0.42180467]
John_McCain&2,John_McCain&3,[0.4777156]
John_McCain&3,John_McCain&7,[0.35856634]
John_McCain&6,John_McCain&7,[0.47373456]
John_Snow&3,John_Snow&15,[0.3628416]
John_Snow&4,John_Snow&16,[0.44038886]
John_Snow&9,John_Snow&11,[0.39471704]
Johnson_Panjaitan&1,Johnson_Panjaitan&2,[0.22009492]
Jorge_Castaneda&1,Jorge_Castaneda&2,[0.3734132]
Jose_Serra&1,Jose_Serra&9,[0.41390502]
Jose_Serra&2,Jose_Serra&8,[0.37190962]
Jose_Serra&3,Jose_Serra&5,[0.5393419]
Jose_Serra&3,Jose_Serra&7,[0.4536674]
Jose_Serra&6,Jose_Serra&9,[0.4874189]
Jose_Theodore&1,Jose_Theodore&2,[0.57930964]
Joseph_Blatter&1,Joseph_Blatter&2,[0.5980757]
Joseph_Ralston&1,Joseph_Ralston&2,[0.4748249]
Juan_Pablo_Montoya&1,Juan_Pablo_Montoya&8,[0.54940456]
Juan_Pablo_Montoya&2,Juan_Pablo_Montoya&4,[0.396201]
Juan_Pablo_Montoya&4,Juan_Pablo_Montoya&5,[0.6024754]
Julianna_Margulies&1,Julianna_Margulies&2,[0.40621352]
Justin_Guarini&1,Justin_Guarini&2,[0.51576996]
Justin_Guarini&2,Justin_Guarini&3,[0.30200034]
Justine_Henin&2,Justine_Henin&3,[0.33136892]
Kate_Winslet&1,Kate_Winslet&2,[0.5093745]
Kate_Winslet&1,Kate_Winslet&4,[0.47299027]
Kate_Winslet&2,Kate_Winslet&3,[0.4263575]
Kate_Winslet&2,Kate_Winslet&4,[0.57142925]
Kathy_Winters&1,Kathy_Winters&2,[0.10445106]
Kelvin_Sampson&1,Kelvin_Sampson&2,[0.3327737]
Kevin_Stallings&1,Kevin_Stallings&2,[0.40285307]
Kim_Jong-Il&2,Kim_Jong-Il&3,[0.17273998]
Kristin_Davis&1,Kristin_Davis&2,[0.23197591]
Kristin_Davis&2,Kristin_Davis&3,[0.28045154]
Lance_Armstrong&1,Lance_Armstrong&17,[0.4282261]
Lance_Armstrong&5,Lance_Armstrong&10,[0.7388474]
Lance_Armstrong&7,Lance_Armstrong&11,[0.47182405]
Lance_Armstrong&10,Lance_Armstrong&18,[0.5511755]
Lance_Armstrong&14,Lance_Armstrong&17,[0.7020114]
Laurent_Jalabert&1,Laurent_Jalabert&2,[0.3981077]
Lindsey_Graham&1,Lindsey_Graham&2,[0.4608028]
Lisa_Gottsegen&1,Lisa_Gottsegen&2,[0.30930656]
Lleyton_Hewitt&1,Lleyton_Hewitt&13,[0.33405274]
Lleyton_Hewitt&16,Lleyton_Hewitt&27,[0.3491447]
Lleyton_Hewitt&18,Lleyton_Hewitt&37,[0.5940919]
Lleyton_Hewitt&24,Lleyton_Hewitt&36,[0.47640872]
Luis_Ernesto_Derbez_Bautista&3,Luis_Ernesto_Derbez_Bautista&6,[0.6106229]
Mario_Dumont&1,Mario_Dumont&2,[0.5265805]
Mark_Wahlberg&1,Mark_Wahlberg&3,[0.7597145]
Mark_Wahlberg&2,Mark_Wahlberg&3,[0.5455257]
Mark_Wahlberg&2,Mark_Wahlberg&4,[0.39179432]
Marlene_Weingartner&1,Marlene_Weingartner&2,[0.67101705]
Martha_Bowen&1,Martha_Bowen&2,[0.45901787]
Martin_Cauchon&1,Martin_Cauchon&2,[0.33334327]
Martin_Hoellwarth&1,Martin_Hoellwarth&2,[0.5048737]
Martin_Sheen&1,Martin_Sheen&2,[0.47911304]
Matthew_Broderick&1,Matthew_Broderick&4,[0.49240226]
Matthew_Broderick&2,Matthew_Broderick&3,[0.42234826]
Mike_Krzyzewski&1,Mike_Krzyzewski&6,[0.5176296]
Mikhail_Gorbachev&1,Mikhail_Gorbachev&2,[0.3748302]
Monica_Bellucci&1,Monica_Bellucci&4,[0.48644996]
Monica_Bellucci&2,Monica_Bellucci&4,[0.5210821]
Naomi_Campbell&1,Naomi_Campbell&2,[0.35800183]
Nestor_Kirchner&3,Nestor_Kirchner&30,[0.46097827]
Nestor_Kirchner&12,Nestor_Kirchner&21,[0.44472075]
Nestor_Kirchner&17,Nestor_Kirchner&25,[0.50122404]
Nicolas_Lapentti&1,Nicolas_Lapentti&2,[0.30620873]
Noah_Wyle&2,Noah_Wyle&3,[0.3913809]
Nora_Bendijo&1,Nora_Bendijo&2,[0.61677957]
Nursultan_Nazarbayev&1,Nursultan_Nazarbayev&2,[0.5488862]
Pamela_Anderson&1,Pamela_Anderson&2,[0.24210727]
Pamela_Anderson&1,Pamela_Anderson&5,[0.5422101]
Patricia_Heaton&1,Patricia_Heaton&2,[0.37805688]
Patty_Schnyder&1,Patty_Schnyder&2,[0.5034193]
Patty_Schnyder&2,Patty_Schnyder&3,[0.37735504]
Patty_Schnyder&2,Patty_Schnyder&4,[0.3269174]
Patty_Schnyder&3,Patty_Schnyder&4,[0.4046054]
Paul_Bremer&6,Paul_Bremer&17,[0.47561562]
Paul_Bremer&7,Paul_Bremer&10,[0.24517053]
Paul_Bremer&9,Paul_Bremer&15,[0.37529922]
Paul_Bremer&14,Paul_Bremer&16,[0.39364702]
Paul_Sarbanes&1,Paul_Sarbanes&3,[0.6399852]
Paul_Sarbanes&2,Paul_Sarbanes&3,[0.33684134]
Paul_William_Hurley&1,Paul_William_Hurley&2,[0.43932384]
Pervez_Musharraf&1,Pervez_Musharraf&6,[0.40854084]
Pervez_Musharraf&2,Pervez_Musharraf&16,[0.3906513]
Pervez_Musharraf&3,Pervez_Musharraf&10,[0.41245794]
Pervez_Musharraf&4,Pervez_Musharraf&14,[0.33989513]
Pervez_Musharraf&5,Pervez_Musharraf&7,[0.6733784]
Pervez_Musharraf&5,Pervez_Musharraf&15,[0.6105874]
Phil_Gramm&1,Phil_Gramm&2,[0.52498555]
Prince_Edward&1,Prince_Edward&2,[0.5954292]
Ricardo_Lagos&3,Ricardo_Lagos&12,[0.4217375]
Ricardo_Lagos&23,Ricardo_Lagos&27,[0.433954]
Ricardo_Monasterio&1,Ricardo_Monasterio&2,[0.34443635]
Rich_Gannon&1,Rich_Gannon&2,[0.47386384]
Rick_Perry&1,Rick_Perry&4,[0.5811301]
Rick_Perry&1,Rick_Perry&5,[0.57752275]
Rick_Perry&2,Rick_Perry&4,[0.49364442]
Rick_Perry&3,Rick_Perry&4,[0.43302178]
Robert_Bonner&2,Robert_Bonner&3,[0.4849788]
Robert_Evans&2,Robert_Evans&3,[0.5441695]
Robert_Fico&1,Robert_Fico&2,[0.37124228]
Romano_Prodi&3,Romano_Prodi&5,[0.64967716]
Roy_Moore&2,Roy_Moore&5,[0.39891565]
Roy_Moore&3,Roy_Moore&6,[0.63421607]
Sachiko_Yamada&1,Sachiko_Yamada&2,[0.24809897]
Sachiko_Yamada&1,Sachiko_Yamada&4,[0.44492972]
Sachiko_Yamada&2,Sachiko_Yamada&3,[0.24299413]
Sachiko_Yamada&2,Sachiko_Yamada&4,[0.3626306]
Saeb_Erekat&1,Saeb_Erekat&2,[0.5262826]
Sam_Bith&1,Sam_Bith&2,[0.32882494]
Sam_Bith&1,Sam_Bith&3,[0.5287932]
Sam_Bith&2,Sam_Bith&3,[0.64652026]
Sean_Hayes&1,Sean_Hayes&2,[0.31688166]
Sergio_Garcia&1,Sergio_Garcia&2,[0.367831]
Silvia_Farina_Elia&1,Silvia_Farina_Elia&2,[0.4920361]
Steve_Ballmer&1,Steve_Ballmer&2,[0.51102155]
Steve_Ballmer&1,Steve_Ballmer&3,[0.65473986]
Stockard_Channing&1,Stockard_Channing&3,[0.3454771]
Stockard_Channing&2,Stockard_Channing&3,[0.37884408]
Terry_McAuliffe&1,Terry_McAuliffe&2,[0.56822205]
Terry_McAuliffe&1,Terry_McAuliffe&3,[0.54165864]
Thomas_Rupprath&1,Thomas_Rupprath&3,[0.522792]
Thomas_Rupprath&2,Thomas_Rupprath&3,[0.43073577]
Tom_Ridge&6,Tom_Ridge&16,[0.48016673]
Tom_Ridge&8,Tom_Ridge&25,[0.43424714]
Tom_Ridge&9,Tom_Ridge&26,[0.47470182]
Tom_Ridge&18,Tom_Ridge&22,[0.45328057]
Tommy_Haas&4,Tommy_Haas&5,[0.577322]
Tommy_Thompson&1,Tommy_Thompson&2,[0.5162819]
Tommy_Thompson&1,Tommy_Thompson&7,[0.49933034]
Tommy_Thompson&2,Tommy_Thompson&8,[0.37857085]
Tommy_Thompson&4,Tommy_Thompson&8,[0.380871]
Tommy_Thompson&6,Tommy_Thompson&9,[0.36085355]
Tomoko_Hagiwara&1,Tomoko_Hagiwara&2,[0.60225946]
Trent_Lott&1,Trent_Lott&2,[0.54586613]
Trent_Lott&2,Trent_Lott&3,[0.39046228]
Trent_Lott&2,Trent_Lott&8,[0.39902568]
Trent_Lott&6,Trent_Lott&11,[0.34617782]
Trent_Lott&7,Trent_Lott&10,[0.66457784]
Trent_Lott&8,Trent_Lott&16,[0.5817293]
Tsutomu_Takebe&1,Tsutomu_Takebe&2,[0.2881524]
Tyler_Hamilton&1,Tyler_Hamilton&2,[0.6421596]
Tyra_Banks&1,Tyra_Banks&2,[0.3542958]
Vaclav_Havel&2,Vaclav_Havel&4,[0.47371852]
Vaclav_Havel&2,Vaclav_Havel&5,[0.5390875]
Vaclav_Havel&2,Vaclav_Havel&6,[0.5690592]
Vaclav_Havel&4,Vaclav_Havel&9,[0.36200118]
Vaclav_Havel&5,Vaclav_Havel&7,[0.3584538]
Valerie_Harper&1,Valerie_Harper&2,[0.6033749]
Vince_Carter&3,Vince_Carter&4,[0.5475174]
Vincent_Brooks&2,Vincent_Brooks&3,[0.33148223]
Vincent_Brooks&2,Vincent_Brooks&7,[0.26835412]
Vincent_Brooks&4,Vincent_Brooks&5,[0.53023314]
Vincent_Brooks&4,Vincent_Brooks&7,[0.47236252]
Vincent_Gallo&1,Vincent_Gallo&2,[0.4673236]
Vitali_Klitschko&1,Vitali_Klitschko&2,[0.51204365]
Vitali_Klitschko&3,Vitali_Klitschko&4,[0.42333066]
William_Macy&1,William_Macy&4,[0.3040334]
William_Macy&2,William_Macy&4,[0.5768204]
William_Macy&3,William_Macy&4,[0.15824974]
Woody_Allen&2,Woody_Allen&4,[0.55456406]
Woody_Allen&3,Woody_Allen&5,[0.47559476]
Yukiko_Okudo&1,Yukiko_Okudo&2,[0.42014533]
Zico&1,Zico&2,[0.3252747]
Zico&2,Zico&3,[0.27241075]
Abdel_Madi_Shabneh&1,Dean_Barker&1,[0.6757021]
Abdel_Madi_Shabneh&1,Giancarlo_Fisichella&1,[0.599674]
Abdel_Madi_Shabneh&1,Mikhail_Gorbachev&1,[0.68063575]
Abdul_Rahman&1,Portia_de_Rossi&1,[0.6929016]
Abel_Pacheco&1,Jong_Thae_Hwa&2,[0.57717615]
Abel_Pacheco&2,Jean-Francois_Lemounier&1,[0.59731555]
Afton_Smith&1,Dwayne_Wade&1,[0.59672564]
Ahmad_Jbarah&1,James_Comey&1,[0.6379166]
Akhmed_Zakayev&2,Donna_Morrissey&1,[0.60967267]
Alan_Dershowitz&1,Bertrand_Bonello&1,[0.63763905]
Alanis_Morissette&1,Martin_Cauchon&1,[0.6220287]
Alexander_Lukashenko&1,Heather_Chinnock&1,[0.7302003]
Alfonso_Cuaron&1,Jason_Priestley&1,[0.35964608]
Alfonso_Cuaron&1,Patty_Schnyder&2,[0.7166227]
Alfonso_Soriano&1,Bill_Nelson&2,[0.7549417]
Alfonso_Soriano&1,Julio_De_Brun&1,[0.77099884]
Alfonso_Soriano&1,Patty_Schnyder&3,[0.6496997]
Alonzo_Mourning&1,Cecilia_Cheung&1,[0.44739348]
Amber_Tamblyn&2,Benjamin_Netanyahu&1,[0.7372036]
Amporn_Falise&1,Joe_Pantoliano&1,[0.52834713]
Anders_Fogh_Rasmussen&2,Johnson_Panjaitan&2,[0.563452]
Andre_Bucher&1,Joseph_Ralston&1,[0.7386936]
Andre_Bucher&1,Maria_Garcia&1,[0.6155563]
Andrew_Gilligan&1,Henry_Castellanos&1,[0.68618363]
Andrew_Shutley&1,Edmund_Stoiber&5,[0.670751]
Andrew_Shutley&1,Mitchell_Swartz&1,[0.6457872]
Andrew_Shutley&1,Saeb_Erekat&2,[0.57296854]
Andy_Dick&1,Simon_Yam&1,[0.716838]
Andy_Griffith&1,Osrat_Iosef&1,[0.61189914]
Andy_Wisecarver&1,Dimitar_Berbatov&1,[0.61605436]
Angela_Lansbury&1,Steven_Van_Zandt&1,[0.71235543]
Angela_Lansbury&2,John_Coomber&1,[0.64482147]
Ann_Veneman&6,Sergio_Garcia&2,[0.802101]
Ann_Veneman&8,Ted_Williams&1,[0.72702634]
Annie-Jeanne_Reynaud&1,SJ_Twu&1,[0.59072506]
Anthony_Carter&1,Eliza_Dushku&1,[0.45974362]
Antonio_Cassano&1,Paul_Celluci&1,[0.58000916]
Anwar_Ibrahim&1,David_Alpay&1,[0.63804275]
Armand_Sargen&1,Daryl_Sabara&1,[0.7767425]
Armand_Sargen&1,Kelvin_Sampson&3,[0.61457217]
Armand_Sargen&1,Lisa_Gottsegen&2,[0.6895205]
Atom_Egoyan&1,Bill_Stapleton&1,[0.5665698]
Atom_Egoyan&1,Janis_Ruth_Coulter&1,[0.5722776]
Barbara_Brezigar&2,Doris_Roberts&2,[0.57490355]
Barbara_Felt-Miller&1,Leticia_Dolera&1,[0.4761976]
Bart_Freundlich&1,Ernie_Grunfeld&1,[0.5429519]
Bart_Freundlich&1,Kirsten_Gilham&1,[0.5448089]
Benjamin_Martinez&1,Garry_McCoy&1,[0.7095355]
Benjamin_Netanyahu&1,Maria_Callas&1,[0.74428093]
Benjamin_Netanyahu&5,Frank_Beamer&1,[0.6801431]
Bernard_Law&1,Liu_Xiaoqing&1,[0.7279036]
Bernard_Law&3,Valerie_Harper&2,[0.8249005]
Bertrand_Bonello&1,Jong_Thae_Hwa&2,[0.63901514]
Bill_Bradley&1,Chen_Tsai-chin&1,[0.5465303]
Bill_Bradley&1,Helen_Alvare&1,[0.6225198]
Bill_Elliott&1,Mary_Anne_Souza&1,[0.4859599]
Bill_Frist&5,Jimmy_Kimmel&2,[0.56988025]
Bill_Maher&1,Brad_Russ&1,[0.5988413]
Bill_Maher&1,Juliette_Binoche&1,[0.55159265]
Bill_Nelson&1,Kim_Jong-Il&3,[0.5609542]
Bill_Nelson&2,Gillian_Anderson&1,[0.4905727]
Bill_Stapleton&1,Sedigh_Barmak&1,[0.48874378]
Bill_Stapleton&1,Valerie_Harper&1,[0.40301657]
Billy_Bob_Thornton&1,Herb_Dhaliwal&1,[0.6479953]
Billy_Bob_Thornton&1,Nong_Duc_Manh&1,[0.5879744]
Bob_Alper&1,Kevin_Millwood&1,[0.48526865]
Bob_Graham&2,Dwayne_Wade&1,[0.6639816]
Bob_Petrino&1,Geraldine_Chaplin&4,[0.699803]
Bob_Petrino&1,Jorge_Castaneda&1,[0.34782135]
Boris_Becker&4,Julianna_Margulies&2,[0.58614653]
Brad_Russ&1,Hana_Urushima&1,[0.70107174]
Brad_Russ&1,Romeo_Gigli&1,[0.652751]
Brawley_King&1,Tom_Glavine&2,[0.63299483]
Brian_Griese&2,Jeffrey_Archer&2,[0.57402915]
Brian_Griese&2,Laura_Elena_Harring&1,[0.4787115]
Brian_Griese&2,Nicolas_Lapentti&2,[0.5047021]
Bryan_Adams&1,Michael_Kors&1,[0.5045758]
Bryan_Adams&1,Mohamed_Seineldin&1,[0.46037322]
Calbert_Cheaney&1,Ian_Smith&1,[0.6179649]
Calbert_Cheaney&1,Robert_Downey_Jr&1,[0.6661115]
Carl_Reiner&1,Hamid_Efendi&1,[0.64288056]
Carl_Reiner&2,John_Engler&1,[0.50877595]
Carl_Reiner&2,Prince_Rainier_III&1,[0.6350956]
Carl_Reiner&2,Tom_Glavine&2,[0.5278565]
Carlo_Azeglio_Ciampi&1,Francis_Ford_Coppola&1,[0.7056093]
Carlos_Arroyo&1,Shane_Phillips&1,[0.6230365]
