person1&ImgN,person2&ImgN,distance,Retina on person1,Retina on person2,LightCNN on person1,LightCNN on person2
Abel_Pacheco&1,Abel_Pacheco&4,[0.68901587]
Akhmed_Zakayev&1,Akhmed_Zakayev&3,[0.4066431]
Akhmed_Zakayev&2,Akhmed_Zakayev&3,[0.4859087]
Amber_Tamblyn&1,Amber_Tamblyn&2,[0.15759039]
Anders_Fogh_Rasmussen&1,Anders_Fogh_Rasmussen&3,[0.5639171]
Anders_Fogh_Rasmussen&1,Anders_Fogh_Rasmussen&4,[0.62981564]
Angela_Bassett&1,Angela_Bassett&5,[0.22773886]
Angela_Bassett&2,Angela_Bassett&5,[0.413379]
Angela_Bassett&3,Angela_Bassett&4,[0.7125188]
Ann_Veneman&3,Ann_Veneman&5,[0.351982]
Ann_Veneman&6,Ann_Veneman&10,[0.47993416]
Ann_Veneman&10,Ann_Veneman&11,[0.6474463]
Anthony_Fauci&1,Anthony_Fauci&2,[0.25515276]
Antony_Leung&1,Antony_Leung&2,[0.30264854]
Antony_Leung&2,Antony_Leung&3,[0.5542388]
Anwar_Ibrahim&1,Anwar_Ibrahim&2,[0.63873154]
Augusto_Pinochet&1,Augusto_Pinochet&2,[0.1941694]
Barbara_Brezigar&1,Barbara_Brezigar&2,[0.47293878]
Benjamin_Netanyahu&1,Benjamin_Netanyahu&4,[0.39131743]
Benjamin_Netanyahu&4,Benjamin_Netanyahu&5,[0.59955734]
Bernard_Law&2,Bernard_Law&3,[0.5923731]
Bernard_Law&3,Bernard_Law&4,[0.5051258]
Bertrand_Bonello&1,Bertrand_Bonello&2,[0.3261342]
Bill_Frist&2,Bill_Frist&9,[0.3614648]
Bill_Frist&4,Bill_Frist&5,[0.9511684]
Bob_Graham&2,Bob_Graham&4,[0.3882131]
Bob_Graham&3,Bob_Graham&6,[0.31782776]
Bob_Graham&4,Bob_Graham&6,[0.31216383]
Bob_Graham&5,Bob_Graham&6,[0.4839393]
Boris_Becker&2,Boris_Becker&6,[0.48565745]
Brad_Johnson&1,Brad_Johnson&3,[0.6385336]
Brad_Johnson&2,Brad_Johnson&3,[0.3622508]
Brad_Johnson&2,Brad_Johnson&4,[0.4374429]
Brian_Griese&1,Brian_Griese&2,[0.3102848]
Candice_Bergen&1,Candice_Bergen&2,[0.805407]
Candice_Bergen&2,Candice_Bergen&3,[0.33662724]
Carla_Myers&1,Carla_Myers&2,[0.27979505]
Cathy_Freeman&1,Cathy_Freeman&2,[0.52785325]
Chang_Dae-whan&1,Chang_Dae-whan&2,[0.2832548]
Charles_Grassley&1,Charles_Grassley&2,[0.49006522]
Clare_Short&1,Clare_Short&3,[0.49233156]
Clare_Short&1,Clare_Short&4,[0.53739643]
Corinne_Coman&1,Corinne_Coman&2,[0.33279967]
Dai_Bachtiar&1,Dai_Bachtiar&2,[0.43252474]
Dale_Earnhardt_Jr&1,Dale_Earnhardt_Jr&3,[0.82602584]
David_Caruso&1,David_Caruso&2,[0.40199518]
Demi_Moore&1,Demi_Moore&3,[0.33604944]
Dick_Vermeil&1,Dick_Vermeil&2,[0.5674046]
Doris_Roberts&1,Doris_Roberts&2,[0.2732736]
Doris_Roberts&1,Doris_Roberts&3,[0.25427914]
Drew_Barrymore&1,Drew_Barrymore&2,[0.58393687]
Edmund_Stoiber&4,Edmund_Stoiber&7,[0.42827284]
Edmund_Stoiber&5,Edmund_Stoiber&7,[0.5152436]
Edmund_Stoiber&7,Edmund_Stoiber&12,[0.56052727]
Edmund_Stoiber&9,Edmund_Stoiber&11,[0.42397952]
Elinor_Caplan&1,Elinor_Caplan&2,[0.44751436]
Emmanuelle_Beart&1,Emmanuelle_Beart&2,[0.5025388]
Emmanuelle_Beart&1,Emmanuelle_Beart&3,[0.16443872]
Federico_Trillo&1,Federico_Trillo&2,[0.69192475]
Federico_Trillo&1,Federico_Trillo&3,[0.8123731]
Federico_Trillo&2,Federico_Trillo&3,[0.44610155]
Francis_Ford_Coppola&1,Francis_Ford_Coppola&2,[0.301512]
Fred_Thompson&1,Fred_Thompson&2,[0.58523977]
Fred_Thompson&1,Fred_Thompson&3,[0.5522862]
Fred_Thompson&2,Fred_Thompson&3,[0.4595291]
Garry_Trudeau&1,Garry_Trudeau&2,[0.5598371]
Gary_Williams&1,Gary_Williams&2,[0.48162282]
Gene_Robinson&1,Gene_Robinson&2,[0.5679607]
Gene_Robinson&1,Gene_Robinson&3,[0.5500572]
Gene_Robinson&2,Gene_Robinson&3,[0.498403]
George_Galloway&1,George_Galloway&3,[0.5125598]
George_Galloway&2,George_Galloway&3,[0.19265682]
George_Galloway&2,George_Galloway&4,[0.6924455]
Geraldine_Chaplin&1,Geraldine_Chaplin&2,[0.25049007]
Geraldine_Chaplin&1,Geraldine_Chaplin&4,[0.36639452]
Geraldine_Chaplin&3,Geraldine_Chaplin&4,[0.20785159]
Gerardo_Gambala&1,Gerardo_Gambala&2,[0.43884826]
Gian_Marco&1,Gian_Marco&2,[0.46992826]
Gian_Marco&2,Gian_Marco&3,[0.63412213]
Gillian_Anderson&1,Gillian_Anderson&2,[0.50491637]
Gordon_Brown&6,Gordon_Brown&9,[0.37668103]
Gordon_Brown&10,Gordon_Brown&13,[0.5933114]
Grant_Hackett&1,Grant_Hackett&2,[0.30916613]
Grant_Hackett&1,Grant_Hackett&3,[0.27185082]
Grant_Hackett&1,Grant_Hackett&5,[0.4610994]
Gray_Davis&7,Gray_Davis&22,[0.39268124]
Gray_Davis&21,Gray_Davis&26,[0.40101123]
Gregg_Popovich&1,Gregg_Popovich&5,[0.59246194]
Gregg_Popovich&3,Gregg_Popovich&4,[0.37756556]
Guy_Ritchie&1,Guy_Ritchie&2,[0.6082771]
Hamzah_Haz&1,Hamzah_Haz&2,[0.49903774]
Harbhajan_Singh&1,Harbhajan_Singh&2,[0.47991556]
Hootie_Johnson&1,Hootie_Johnson&2,[0.7452148]
Hugo_Chavez&2,Hugo_Chavez&27,[0.73513705]
Hugo_Chavez&27,Hugo_Chavez&53,[0.49941003]
Hugo_Chavez&36,Hugo_Chavez&51,[0.44035536]
Hugo_Chavez&41,Hugo_Chavez&50,[0.44842458]
Hugo_Chavez&45,Hugo_Chavez&56,[0.41771674]
Isaiah_Washington&1,Isaiah_Washington&2,[0.6526498]
Jack_Grubman&1,Jack_Grubman&2,[0.261935]
Jacques_Rogge&1,Jacques_Rogge&9,[0.45711792]
Jacques_Rogge&3,Jacques_Rogge&7,[0.5289368]
Jacques_Rogge&3,Jacques_Rogge&10,[0.50263864]
Jacques_Rogge&4,Jacques_Rogge&6,[0.34452206]
Jacques_Rogge&4,Jacques_Rogge&9,[0.4275502]
Jacques_Rogge&5,Jacques_Rogge&8,[0.48762923]
Jacques_Rogge&6,Jacques_Rogge&8,[0.4536034]
James_Caan&1,James_Caan&2,[0.39973658]
James_Caan&1,James_Caan&3,[0.3611362]
James_Caan&2,James_Caan&3,[0.35479128]
James_Jones&1,James_Jones&2,[0.5548458]
Jamling_Norgay&1,Jamling_Norgay&2,[0.46910852]
Janica_Kostelic&1,Janica_Kostelic&2,[0.5475649]
Jeanne_Moreau&1,Jeanne_Moreau&2,[0.39567333]
Jeffrey_Archer&1,Jeffrey_Archer&2,[0.45956695]
Jennifer_Garner&1,Jennifer_Garner&3,[0.56768215]
Jennifer_Garner&4,Jennifer_Garner&9,[0.786976]
Jennifer_Garner&5,Jennifer_Garner&6,[0.39050686]
Jennifer_Garner&5,Jennifer_Garner&9,[0.38124424]
Jennifer_Garner&7,Jennifer_Garner&12,[0.37348318]
Jennifer_Garner&8,Jennifer_Garner&11,[0.6088776]
Jeremy_Greenstock&2,Jeremy_Greenstock&24,[0.32519025]
Jeremy_Greenstock&3,Jeremy_Greenstock&22,[0.6001469]
Jeremy_Greenstock&5,Jeremy_Greenstock&11,[0.5186104]
Jeremy_Greenstock&10,Jeremy_Greenstock&14,[0.3850246]
Jeremy_Greenstock&17,Jeremy_Greenstock&21,[0.4815489]
Jessica_Lange&1,Jessica_Lange&2,[0.616348]
Jimmy_Carter&1,Jimmy_Carter&7,[0.5134672]
Jimmy_Carter&4,Jimmy_Carter&6,[0.32148266]
Jimmy_Carter&5,Jimmy_Carter&8,[0.3355353]
Jimmy_Carter&6,Jimmy_Carter&7,[0.43264163]
Jodie_Foster&1,Jodie_Foster&2,[0.34396303]
John_Manley&1,John_Manley&6,[0.650747]
John_Manley&2,John_Manley&5,[0.24848652]
John_McCain&2,John_McCain&3,[0.546821]
John_McCain&3,John_McCain&7,[0.35002017]
John_McCain&6,John_McCain&7,[0.5097414]
John_Snow&3,John_Snow&15,[0.5097259]
John_Snow&4,John_Snow&16,[0.4413265]
John_Snow&9,John_Snow&11,[0.45887172]
Johnson_Panjaitan&1,Johnson_Panjaitan&2,[0.20478809]
Jorge_Castaneda&1,Jorge_Castaneda&2,[0.43192506]
Jose_Serra&1,Jose_Serra&9,[0.42959142]
Jose_Serra&2,Jose_Serra&8,[0.34295696]
Jose_Serra&3,Jose_Serra&5,[0.51183593]
Jose_Serra&3,Jose_Serra&7,[0.35919625]
Jose_Serra&6,Jose_Serra&9,[0.28501177]
Jose_Theodore&1,Jose_Theodore&2,[0.47853005]
Joseph_Blatter&1,Joseph_Blatter&2,[0.8247093]
Joseph_Ralston&1,Joseph_Ralston&2,[0.64074624]
Juan_Pablo_Montoya&1,Juan_Pablo_Montoya&8,[0.92225266]
Juan_Pablo_Montoya&2,Juan_Pablo_Montoya&4,[0.45024472]
Juan_Pablo_Montoya&4,Juan_Pablo_Montoya&5,[0.875561]
Julianna_Margulies&1,Julianna_Margulies&2,[0.33145106]
Justin_Guarini&1,Justin_Guarini&2,[0.59745735]
Justin_Guarini&2,Justin_Guarini&3,[0.3140661]
Justine_Henin&2,Justine_Henin&3,[0.67341566]
Kate_Winslet&1,Kate_Winslet&2,[0.69653875]
Kate_Winslet&1,Kate_Winslet&4,[0.59822476]
Kate_Winslet&2,Kate_Winslet&3,[0.87552524]
Kate_Winslet&2,Kate_Winslet&4,[0.8635251]
Kathy_Winters&1,Kathy_Winters&2,[0.19448394]
Kelvin_Sampson&1,Kelvin_Sampson&2,[0.52548015]
Kevin_Stallings&1,Kevin_Stallings&2,[0.32836103]
Kim_Jong-Il&2,Kim_Jong-Il&3,[0.29448533]
Kristin_Davis&1,Kristin_Davis&2,[0.13845432]
Kristin_Davis&2,Kristin_Davis&3,[0.44094127]
Lance_Armstrong&1,Lance_Armstrong&17,[0.36446226]
Lance_Armstrong&5,Lance_Armstrong&10,[0.77992845]
Lance_Armstrong&7,Lance_Armstrong&11,[0.4215433]
Lance_Armstrong&10,Lance_Armstrong&18,[0.56121093]
Lance_Armstrong&14,Lance_Armstrong&17,[0.6927346]
Laurent_Jalabert&1,Laurent_Jalabert&2,[0.7547627]
Lindsey_Graham&1,Lindsey_Graham&2,[0.4664961]
Lisa_Gottsegen&1,Lisa_Gottsegen&2,[0.41176808]
Lleyton_Hewitt&1,Lleyton_Hewitt&13,[0.4767636]
Lleyton_Hewitt&16,Lleyton_Hewitt&27,[0.3384093]
Lleyton_Hewitt&18,Lleyton_Hewitt&37,[0.5012963]
Lleyton_Hewitt&24,Lleyton_Hewitt&36,[0.39398313]
Luis_Ernesto_Derbez_Bautista&3,Luis_Ernesto_Derbez_Bautista&6,[0.5030747]
Mario_Dumont&1,Mario_Dumont&2,[0.56922626]
Mark_Wahlberg&1,Mark_Wahlberg&3,[0.8672768]
Mark_Wahlberg&2,Mark_Wahlberg&3,[0.7425089]
Mark_Wahlberg&2,Mark_Wahlberg&4,[0.8215976]
Marlene_Weingartner&1,Marlene_Weingartner&2,[0.7250307]
Martha_Bowen&1,Martha_Bowen&2,[0.45743853]
Martin_Cauchon&1,Martin_Cauchon&2,[0.21926391]
Martin_Hoellwarth&1,Martin_Hoellwarth&2,[0.6637846]
Martin_Sheen&1,Martin_Sheen&2,[0.35963404]
Matthew_Broderick&1,Matthew_Broderick&4,[0.60116667]
Matthew_Broderick&2,Matthew_Broderick&3,[0.45268148]
Mike_Krzyzewski&1,Mike_Krzyzewski&6,[0.563272]
Mikhail_Gorbachev&1,Mikhail_Gorbachev&2,[0.34784752]
Monica_Bellucci&1,Monica_Bellucci&4,[0.42201424]
Monica_Bellucci&2,Monica_Bellucci&4,[0.37946725]
Naomi_Campbell&1,Naomi_Campbell&2,[0.32341313]
Nestor_Kirchner&3,Nestor_Kirchner&30,[0.5263635]
Nestor_Kirchner&12,Nestor_Kirchner&21,[0.34851348]
Nestor_Kirchner&17,Nestor_Kirchner&25,[0.29871404]
Nicolas_Lapentti&1,Nicolas_Lapentti&2,[0.31099194]
Noah_Wyle&2,Noah_Wyle&3,[0.33054394]
Nora_Bendijo&1,Nora_Bendijo&2,[0.7768342]
Nursultan_Nazarbayev&1,Nursultan_Nazarbayev&2,[0.66649175]
Pamela_Anderson&1,Pamela_Anderson&2,[0.33283186]
Pamela_Anderson&1,Pamela_Anderson&5,[0.5012739]
Patricia_Heaton&1,Patricia_Heaton&2,[0.48462123]
Patty_Schnyder&1,Patty_Schnyder&2,[0.5815286]
Patty_Schnyder&2,Patty_Schnyder&3,[0.42666745]
Patty_Schnyder&2,Patty_Schnyder&4,[0.38060927]
Patty_Schnyder&3,Patty_Schnyder&4,[0.42567104]
Paul_Bremer&6,Paul_Bremer&17,[0.5537333]
Paul_Bremer&7,Paul_Bremer&10,[0.3428303]
Paul_Bremer&9,Paul_Bremer&15,[0.30669808]
Paul_Bremer&14,Paul_Bremer&16,[0.27784985]
Paul_Sarbanes&1,Paul_Sarbanes&3,[0.30919206]
Paul_Sarbanes&2,Paul_Sarbanes&3,[0.435068]
Paul_William_Hurley&1,Paul_William_Hurley&2,[0.37522602]
Pervez_Musharraf&1,Pervez_Musharraf&6,[0.41612792]
Pervez_Musharraf&2,Pervez_Musharraf&16,[0.7237802]
Pervez_Musharraf&3,Pervez_Musharraf&10,[0.39558166]
Pervez_Musharraf&4,Pervez_Musharraf&14,[0.43030858]
Pervez_Musharraf&5,Pervez_Musharraf&7,[0.86757725]
Pervez_Musharraf&5,Pervez_Musharraf&15,[0.8846253]
Phil_Gramm&1,Phil_Gramm&2,[0.7810498]
Prince_Edward&1,Prince_Edward&2,[0.35095584]
Ricardo_Lagos&3,Ricardo_Lagos&12,[0.33358014]
Ricardo_Lagos&23,Ricardo_Lagos&27,[0.40499842]
Ricardo_Monasterio&1,Ricardo_Monasterio&2,[0.32222795]
Rich_Gannon&1,Rich_Gannon&2,[0.33906555]
Rick_Perry&1,Rick_Perry&4,[0.36658382]
Rick_Perry&1,Rick_Perry&5,[0.4766162]
Rick_Perry&2,Rick_Perry&4,[0.5843062]
Rick_Perry&3,Rick_Perry&4,[0.3491482]
Robert_Bonner&2,Robert_Bonner&3,[0.6251917]
Robert_Evans&2,Robert_Evans&3,[0.4098934]
Robert_Fico&1,Robert_Fico&2,[0.4049263]
Romano_Prodi&3,Romano_Prodi&5,[0.71993303]
Roy_Moore&2,Roy_Moore&5,[0.52224946]
Roy_Moore&3,Roy_Moore&6,[0.93042016]
Sachiko_Yamada&1,Sachiko_Yamada&2,[0.32052577]
Sachiko_Yamada&1,Sachiko_Yamada&4,[0.6040509]
Sachiko_Yamada&2,Sachiko_Yamada&3,[0.27642304]
Sachiko_Yamada&2,Sachiko_Yamada&4,[0.496338]
Saeb_Erekat&1,Saeb_Erekat&2,[0.6781324]
Sam_Bith&1,Sam_Bith&2,[0.3393935]
Sam_Bith&1,Sam_Bith&3,[0.47778696]
Sam_Bith&2,Sam_Bith&3,[0.48336327]
Sean_Hayes&1,Sean_Hayes&2,[0.2994362]
Sergio_Garcia&1,Sergio_Garcia&2,[0.33153278]
Silvia_Farina_Elia&1,Silvia_Farina_Elia&2,[0.5135056]
Steve_Ballmer&1,Steve_Ballmer&2,[0.59929395]
Steve_Ballmer&1,Steve_Ballmer&3,[0.42947698]
Stockard_Channing&1,Stockard_Channing&3,[0.36950016]
Stockard_Channing&2,Stockard_Channing&3,[0.4180628]
Terry_McAuliffe&1,Terry_McAuliffe&2,[0.56172156]
Terry_McAuliffe&1,Terry_McAuliffe&3,[0.4058007]
Thomas_Rupprath&1,Thomas_Rupprath&3,[0.88928527]
Thomas_Rupprath&2,Thomas_Rupprath&3,[0.52236104]
Tom_Ridge&6,Tom_Ridge&16,[0.3704362]
Tom_Ridge&8,Tom_Ridge&25,[0.42187297]
Tom_Ridge&9,Tom_Ridge&26,[0.31612682]
Tom_Ridge&18,Tom_Ridge&22,[0.3397951]
Tommy_Haas&4,Tommy_Haas&5,[0.48328197]
Tommy_Thompson&1,Tommy_Thompson&2,[0.50988877]
Tommy_Thompson&1,Tommy_Thompson&7,[0.5111133]
Tommy_Thompson&2,Tommy_Thompson&8,[0.3196659]
Tommy_Thompson&4,Tommy_Thompson&8,[0.33862078]
Tommy_Thompson&6,Tommy_Thompson&9,[0.33493495]
Tomoko_Hagiwara&1,Tomoko_Hagiwara&2,[0.704838]
Trent_Lott&1,Trent_Lott&2,[0.46896166]
Trent_Lott&2,Trent_Lott&3,[0.32669616]
Trent_Lott&2,Trent_Lott&8,[0.49310553]
Trent_Lott&6,Trent_Lott&11,[0.5207915]
Trent_Lott&7,Trent_Lott&10,[0.46752554]
Trent_Lott&8,Trent_Lott&16,[0.46431792]
Tsutomu_Takebe&1,Tsutomu_Takebe&2,[0.19020808]
Tyler_Hamilton&1,Tyler_Hamilton&2,[0.68235815]
Tyra_Banks&1,Tyra_Banks&2,[0.44576788]
Vaclav_Havel&2,Vaclav_Havel&4,[0.4414246]
Vaclav_Havel&2,Vaclav_Havel&5,[0.56283826]
Vaclav_Havel&2,Vaclav_Havel&6,[0.35215724]
Vaclav_Havel&4,Vaclav_Havel&9,[0.34580457]
Vaclav_Havel&5,Vaclav_Havel&7,[0.29030716]
Valerie_Harper&1,Valerie_Harper&2,[0.45751762]
Vince_Carter&3,Vince_Carter&4,[0.5242183]
Vincent_Brooks&2,Vincent_Brooks&3,[0.23521036]
Vincent_Brooks&2,Vincent_Brooks&7,[0.43218714]
Vincent_Brooks&4,Vincent_Brooks&5,[0.39877325]
Vincent_Brooks&4,Vincent_Brooks&7,[0.47603416]
Vincent_Gallo&1,Vincent_Gallo&2,[0.4955392]
Vitali_Klitschko&1,Vitali_Klitschko&2,[0.57259035]
Vitali_Klitschko&3,Vitali_Klitschko&4,[0.6294015]
William_Macy&1,William_Macy&4,[0.3275534]
William_Macy&2,William_Macy&4,[0.6799437]
William_Macy&3,William_Macy&4,[0.22995806]
Woody_Allen&2,Woody_Allen&4,[0.8434081]
Woody_Allen&3,Woody_Allen&5,[0.48251492]
Yukiko_Okudo&1,Yukiko_Okudo&2,[0.46498954]
Zico&1,Zico&2,[0.29404914]
Zico&2,Zico&3,[0.39483178]
Abdel_Madi_Shabneh&1,Dean_Barker&1,[0.5791364]
Abdel_Madi_Shabneh&1,Giancarlo_Fisichella&1,[0.616096]
Abdel_Madi_Shabneh&1,Mikhail_Gorbachev&1,[0.87376636]
Abdul_Rahman&1,Portia_de_Rossi&1,[0.87386537]
Abel_Pacheco&1,Jong_Thae_Hwa&2,[0.62380177]
Abel_Pacheco&2,Jean-Francois_Lemounier&1,[0.64149016]
Afton_Smith&1,Dwayne_Wade&1,[0.5890868]
Ahmad_Jbarah&1,James_Comey&1,[0.7569224]
Akhmed_Zakayev&2,Donna_Morrissey&1,[0.69237995]
Alan_Dershowitz&1,Bertrand_Bonello&1,[0.81556904]
Alanis_Morissette&1,Martin_Cauchon&1,[0.81969976]
Alexander_Lukashenko&1,Heather_Chinnock&1,[0.834826]
Alfonso_Cuaron&1,Jason_Priestley&1,[0.60105497]
Alfonso_Cuaron&1,Patty_Schnyder&2,[0.85093105]
Alfonso_Soriano&1,Bill_Nelson&2,[0.7746099]
Alfonso_Soriano&1,Julio_De_Brun&1,[0.7693813]
Alfonso_Soriano&1,Patty_Schnyder&3,[0.75044453]
Alonzo_Mourning&1,Cecilia_Cheung&1,[0.8650737]
Amber_Tamblyn&2,Benjamin_Netanyahu&1,[0.8888418]
Amporn_Falise&1,Joe_Pantoliano&1,[0.85890275]
Anders_Fogh_Rasmussen&2,Johnson_Panjaitan&2,[0.54602003]
Andre_Bucher&1,Joseph_Ralston&1,[0.8845033]
Andre_Bucher&1,Maria_Garcia&1,[0.95315194]
Andrew_Gilligan&1,Henry_Castellanos&1,[0.7310878]
Andrew_Shutley&1,Edmund_Stoiber&5,[0.80480194]
Andrew_Shutley&1,Mitchell_Swartz&1,[0.8336719]
Andrew_Shutley&1,Saeb_Erekat&2,[1.0327021]
Andy_Dick&1,Simon_Yam&1,[0.981941]
Andy_Griffith&1,Osrat_Iosef&1,[0.82679844]
Andy_Wisecarver&1,Dimitar_Berbatov&1,[0.87732893]
Angela_Lansbury&1,Steven_Van_Zandt&1,[0.89122486]
Angela_Lansbury&2,John_Coomber&1,[0.76381403]
Ann_Veneman&6,Sergio_Garcia&2,[0.97689646]
Ann_Veneman&8,Ted_Williams&1,[0.7575736]
Annie-Jeanne_Reynaud&1,SJ_Twu&1,[0.751274]
Anthony_Carter&1,Eliza_Dushku&1,[0.8658912]
Antonio_Cassano&1,Paul_Celluci&1,[0.71802104]
Anwar_Ibrahim&1,David_Alpay&1,[0.6945006]
Armand_Sargen&1,Daryl_Sabara&1,[0.9623537]
Armand_Sargen&1,Kelvin_Sampson&3,[0.81330186]
Armand_Sargen&1,Lisa_Gottsegen&2,[0.8441067]
Atom_Egoyan&1,Bill_Stapleton&1,[0.64454836]
Atom_Egoyan&1,Janis_Ruth_Coulter&1,[0.7327867]
Barbara_Brezigar&2,Doris_Roberts&2,[0.7063409]
Barbara_Felt-Miller&1,Leticia_Dolera&1,[0.31590837]
Bart_Freundlich&1,Ernie_Grunfeld&1,[0.95808804]
Bart_Freundlich&1,Kirsten_Gilham&1,[0.8775739]
Benjamin_Martinez&1,Garry_McCoy&1,[0.7118254]
Benjamin_Netanyahu&1,Maria_Callas&1,[0.81463087]
Benjamin_Netanyahu&5,Frank_Beamer&1,[1.0011591]
Bernard_Law&1,Liu_Xiaoqing&1,[0.8678876]
Bernard_Law&3,Valerie_Harper&2,[0.99278915]
Bertrand_Bonello&1,Jong_Thae_Hwa&2,[0.71441746]
Bill_Bradley&1,Chen_Tsai-chin&1,[0.8246543]
Bill_Bradley&1,Helen_Alvare&1,[0.7148707]
Bill_Elliott&1,Mary_Anne_Souza&1,[0.7049671]
Bill_Frist&5,Jimmy_Kimmel&2,[0.93926114]
Bill_Maher&1,Brad_Russ&1,[0.615186]
