person1&ImgN,person2&ImgN,distance,Retina on person1,Retina on person2,LightCNN on person1,LightCNN on person2
Abel_Pacheco&1,Abel_Pacheco&4,[0.6512495]
Akhmed_Zakayev&1,Akhmed_Zakayev&3,[0.40046972]
Akhmed_Zakayev&2,Akhmed_Zakayev&3,[0.5445368]
Amber_Tamblyn&1,Amber_Tamblyn&2,[0.15237647]
Anders_Fogh_Rasmussen&1,Anders_Fogh_Rasmussen&3,[0.45322603]
Anders_Fogh_Rasmussen&1,Anders_Fogh_Rasmussen&4,[0.572812]
Angela_Bassett&1,Angela_Bassett&5,[0.23233652]
Angela_Bassett&2,Angela_Bassett&5,[0.42784113]
Angela_Bassett&3,Angela_Bassett&4,[0.6935217]
Ann_Veneman&3,Ann_Veneman&5,[0.39623773]
Ann_Veneman&6,Ann_Veneman&10,[0.47494823]
Ann_Veneman&10,Ann_Veneman&11,[0.67580193]
Anthony_Fauci&1,Anthony_Fauci&2,[0.32329822]
Antony_Leung&1,Antony_Leung&2,[0.3505442]
Antony_Leung&2,Antony_Leung&3,[0.5417962]
Anwar_Ibrahim&1,Anwar_Ibrahim&2,[0.5818497]
Augusto_Pinochet&1,Augusto_Pinochet&2,[0.18664145]
Barbara_Brezigar&1,Barbara_Brezigar&2,[0.4993381]
Benjamin_Netanyahu&1,Benjamin_Netanyahu&4,[0.46688485]
Benjamin_Netanyahu&4,Benjamin_Netanyahu&5,[0.6159521]
Bernard_Law&2,Bernard_Law&3,[0.6700566]
Bernard_Law&3,Bernard_Law&4,[0.5769942]
Bertrand_Bonello&1,Bertrand_Bonello&2,[0.34897304]
Bill_Frist&2,Bill_Frist&9,[0.349612]
Bill_Frist&4,Bill_Frist&5,[0.90736103]
Bob_Graham&2,Bob_Graham&4,[0.55922556]
Bob_Graham&3,Bob_Graham&6,[0.34040558]
Bob_Graham&4,Bob_Graham&6,[0.47511518]
Bob_Graham&5,Bob_Graham&6,[0.54512143]
Boris_Becker&2,Boris_Becker&6,[0.56605256]
Brad_Johnson&1,Brad_Johnson&3,[0.6477992]
Brad_Johnson&2,Brad_Johnson&3,[0.4056009]
Brad_Johnson&2,Brad_Johnson&4,[0.52438414]
Brian_Griese&1,Brian_Griese&2,[0.3733827]
Candice_Bergen&1,Candice_Bergen&2,[0.9088277]
Candice_Bergen&2,Candice_Bergen&3,[0.28937644]
Carla_Myers&1,Carla_Myers&2,[0.35562027]
Cathy_Freeman&1,Cathy_Freeman&2,[0.54789424]
Chang_Dae-whan&1,Chang_Dae-whan&2,[0.45165992]
Charles_Grassley&1,Charles_Grassley&2,[0.41222453]
Clare_Short&1,Clare_Short&3,[0.47526258]
Clare_Short&1,Clare_Short&4,[0.5313657]
Corinne_Coman&1,Corinne_Coman&2,[0.2865296]
Dai_Bachtiar&1,Dai_Bachtiar&2,[0.49230087]
Dale_Earnhardt_Jr&1,Dale_Earnhardt_Jr&3,[0.8296266]
David_Caruso&1,David_Caruso&2,[0.41468716]
Demi_Moore&1,Demi_Moore&3,[0.3375075]
Dick_Vermeil&1,Dick_Vermeil&2,[0.53387004]
Doris_Roberts&1,Doris_Roberts&2,[0.3182618]
Doris_Roberts&1,Doris_Roberts&3,[0.25721025]
Drew_Barrymore&1,Drew_Barrymore&2,[0.56636965]
Edmund_Stoiber&4,Edmund_Stoiber&7,[0.4229731]
Edmund_Stoiber&5,Edmund_Stoiber&7,[0.53524196]
Edmund_Stoiber&7,Edmund_Stoiber&12,[0.4608031]
Edmund_Stoiber&9,Edmund_Stoiber&11,[0.40174437]
Elinor_Caplan&1,Elinor_Caplan&2,[0.4702595]
Emmanuelle_Beart&1,Emmanuelle_Beart&2,[0.46230507]
Emmanuelle_Beart&1,Emmanuelle_Beart&3,[0.19843161]
Federico_Trillo&1,Federico_Trillo&2,[0.6858479]
Federico_Trillo&1,Federico_Trillo&3,[0.7698345]
Federico_Trillo&2,Federico_Trillo&3,[0.40602052]
