person1&ImgN,person2&ImgN,distance,Retina on person1,Retina on person2,LightCNN on person1,LightCNN on person2
Abel_Pacheco&1,Abel_Pacheco&4,[0.7974219]
Akhmed_Zakayev&1,Akhmed_Zakayev&3,[0.3881566]
Akhmed_Zakayev&2,Akhmed_Zakayev&3,[0.5373831]
Amber_Tamblyn&1,Amber_Tamblyn&2,[0.22873765]
Anders_Fogh_Rasmussen&1,Anders_Fogh_Rasmussen&3,[0.4625113]
Anders_Fogh_Rasmussen&1,Anders_Fogh_Rasmussen&4,[0.62783325]
Angela_Bassett&1,Angela_Bassett&5,[0.13659537]
Angela_Bassett&2,Angela_Bassett&5,[0.30949426]
Angela_Bassett&3,Angela_Bassett&4,[0.6410083]
Ann_Veneman&3,Ann_Veneman&5,[0.27473998]
Ann_Veneman&6,Ann_Veneman&10,[0.35797232]
Ann_Veneman&10,Ann_Veneman&11,[0.53857774]
Anthony_Fauci&1,Anthony_Fauci&2,[0.25607646]
Antony_Leung&1,Antony_Leung&2,[0.47236067]
Antony_Leung&2,Antony_Leung&3,[0.5870249]
Anwar_Ibrahim&1,Anwar_Ibrahim&2,[0.8025399]
Augusto_Pinochet&1,Augusto_Pinochet&2,[0.29367417]
Barbara_Brezigar&1,Barbara_Brezigar&2,[0.5490547]
Benjamin_Netanyahu&1,Benjamin_Netanyahu&4,[0.5130813]
Benjamin_Netanyahu&4,Benjamin_Netanyahu&5,[0.7216605]
Bernard_Law&2,Bernard_Law&3,[0.700448]
Bernard_Law&3,Bernard_Law&4,[0.58095694]
Bertrand_Bonello&1,Bertrand_Bonello&2,[0.32711995]
Bill_Frist&2,Bill_Frist&9,[0.5969488]
Bill_Frist&4,Bill_Frist&5,[0.88217413]
Bob_Graham&2,Bob_Graham&4,[0.4476986]
Bob_Graham&3,Bob_Graham&6,[0.33181828]
Bob_Graham&4,Bob_Graham&6,[0.37221062]
Bob_Graham&5,Bob_Graham&6,[0.43113273]
Boris_Becker&2,Boris_Becker&6,[0.42108452]
Brad_Johnson&1,Brad_Johnson&3,[0.5529303]
Brad_Johnson&2,Brad_Johnson&3,[0.36921775]
Brad_Johnson&2,Brad_Johnson&4,[0.5742586]
Brian_Griese&1,Brian_Griese&2,[0.40853846]
Candice_Bergen&1,Candice_Bergen&2,[0.7704096]
Candice_Bergen&2,Candice_Bergen&3,[0.3846526]
Carla_Myers&1,Carla_Myers&2,[0.34042525]
Cathy_Freeman&1,Cathy_Freeman&2,[0.60264385]
Chang_Dae-whan&1,Chang_Dae-whan&2,[0.5145607]
Charles_Grassley&1,Charles_Grassley&2,[0.42056668]
Clare_Short&1,Clare_Short&3,[0.5739741]
Clare_Short&1,Clare_Short&4,[0.5595508]
Corinne_Coman&1,Corinne_Coman&2,[0.3030944]
Dai_Bachtiar&1,Dai_Bachtiar&2,[0.45025778]
Dale_Earnhardt_Jr&1,Dale_Earnhardt_Jr&3,[0.6545744]
David_Caruso&1,David_Caruso&2,[0.41360217]
Demi_Moore&1,Demi_Moore&3,[0.45164037]
Dick_Vermeil&1,Dick_Vermeil&2,[0.6166126]
Doris_Roberts&1,Doris_Roberts&2,[0.35236788]
Doris_Roberts&1,Doris_Roberts&3,[0.286421]
Drew_Barrymore&1,Drew_Barrymore&2,[0.5554639]
Edmund_Stoiber&4,Edmund_Stoiber&7,[0.47530997]
Edmund_Stoiber&5,Edmund_Stoiber&7,[0.5576893]
Edmund_Stoiber&7,Edmund_Stoiber&12,[0.5872993]
Edmund_Stoiber&9,Edmund_Stoiber&11,[0.5220501]
Elinor_Caplan&1,Elinor_Caplan&2,[0.48508024]
Emmanuelle_Beart&1,Emmanuelle_Beart&2,[0.5394919]
Emmanuelle_Beart&1,Emmanuelle_Beart&3,[0.24968052]
Federico_Trillo&1,Federico_Trillo&2,[0.735064]
Federico_Trillo&1,Federico_Trillo&3,[0.8528969]
Federico_Trillo&2,Federico_Trillo&3,[0.5221087]
Francis_Ford_Coppola&1,Francis_Ford_Coppola&2,[0.4938414]
Fred_Thompson&1,Fred_Thompson&2,[0.50521684]
Fred_Thompson&1,Fred_Thompson&3,[0.5069828]
Fred_Thompson&2,Fred_Thompson&3,[0.44235778]
Garry_Trudeau&1,Garry_Trudeau&2,[0.4674785]
Gary_Williams&1,Gary_Williams&2,[0.55426157]
Gene_Robinson&1,Gene_Robinson&2,[0.6939301]
Gene_Robinson&1,Gene_Robinson&3,[0.7842646]
Gene_Robinson&2,Gene_Robinson&3,[0.56776345]
George_Galloway&1,George_Galloway&3,[0.66450214]
George_Galloway&2,George_Galloway&3,[0.27092868]
George_Galloway&2,George_Galloway&4,[0.7286167]
Geraldine_Chaplin&1,Geraldine_Chaplin&2,[0.41634023]
Geraldine_Chaplin&1,Geraldine_Chaplin&4,[0.4842463]
Geraldine_Chaplin&3,Geraldine_Chaplin&4,[0.24988931]
Gerardo_Gambala&1,Gerardo_Gambala&2,[0.59079564]
Gian_Marco&1,Gian_Marco&2,[0.3947004]
Gian_Marco&2,Gian_Marco&3,[0.50609666]
Gillian_Anderson&1,Gillian_Anderson&2,[0.66952604]
Gordon_Brown&6,Gordon_Brown&9,[0.4076687]
Gordon_Brown&10,Gordon_Brown&13,[0.5439619]
Grant_Hackett&1,Grant_Hackett&2,[0.35912073]
Grant_Hackett&1,Grant_Hackett&3,[0.31225896]
Grant_Hackett&1,Grant_Hackett&5,[0.48463333]
Gray_Davis&7,Gray_Davis&22,[0.42819428]
Gray_Davis&21,Gray_Davis&26,[0.5298109]
Gregg_Popovich&1,Gregg_Popovich&5,[0.5832029]
Gregg_Popovich&3,Gregg_Popovich&4,[0.6416577]
Guy_Ritchie&1,Guy_Ritchie&2,[0.6687469]
Hamzah_Haz&1,Hamzah_Haz&2,[0.41525674]
Harbhajan_Singh&1,Harbhajan_Singh&2,[0.30964303]
Hootie_Johnson&1,Hootie_Johnson&2,[0.76253194]
Hugo_Chavez&2,Hugo_Chavez&27,[0.8816502]
Hugo_Chavez&27,Hugo_Chavez&53,[0.4856068]
Hugo_Chavez&36,Hugo_Chavez&51,[0.49959856]
Hugo_Chavez&41,Hugo_Chavez&50,[0.6527053]
Hugo_Chavez&45,Hugo_Chavez&56,[0.42599416]
Isaiah_Washington&1,Isaiah_Washington&2,[0.55550015]
Jack_Grubman&1,Jack_Grubman&2,[0.29899693]
Jacques_Rogge&1,Jacques_Rogge&9,[0.5860274]
Jacques_Rogge&3,Jacques_Rogge&7,[0.44841564]
Jacques_Rogge&3,Jacques_Rogge&10,[0.26575363]
Jacques_Rogge&4,Jacques_Rogge&6,[0.37321985]
Jacques_Rogge&4,Jacques_Rogge&9,[0.42562747]
Jacques_Rogge&5,Jacques_Rogge&8,[0.44427395]
Jacques_Rogge&6,Jacques_Rogge&8,[0.36160493]
James_Caan&1,James_Caan&2,[0.3297906]
James_Caan&1,James_Caan&3,[0.34399784]
James_Caan&2,James_Caan&3,[0.30129802]
James_Jones&1,James_Jones&2,[0.8005836]
Jamling_Norgay&1,Jamling_Norgay&2,[0.4517951]
Janica_Kostelic&1,Janica_Kostelic&2,[0.50739515]
Jeanne_Moreau&1,Jeanne_Moreau&2,[0.26451766]
Jeffrey_Archer&1,Jeffrey_Archer&2,[0.5376509]
Jennifer_Garner&1,Jennifer_Garner&3,[0.4679669]
Jennifer_Garner&4,Jennifer_Garner&9,[0.72733593]
Jennifer_Garner&5,Jennifer_Garner&6,[0.52952164]
Jennifer_Garner&5,Jennifer_Garner&9,[0.37937236]
Jennifer_Garner&7,Jennifer_Garner&12,[0.49022794]
Jennifer_Garner&8,Jennifer_Garner&11,[0.6809031]
Jeremy_Greenstock&2,Jeremy_Greenstock&24,[0.65378886]
Jeremy_Greenstock&3,Jeremy_Greenstock&22,[0.659692]
Jeremy_Greenstock&5,Jeremy_Greenstock&11,[0.4364792]
Jeremy_Greenstock&10,Jeremy_Greenstock&14,[0.4368149]
Jeremy_Greenstock&17,Jeremy_Greenstock&21,[0.5976344]
Jessica_Lange&1,Jessica_Lange&2,[0.6114797]
Jimmy_Carter&1,Jimmy_Carter&7,[0.52602136]
Jimmy_Carter&4,Jimmy_Carter&6,[0.3542835]
Jimmy_Carter&5,Jimmy_Carter&8,[0.45749485]
Jimmy_Carter&6,Jimmy_Carter&7,[0.48253483]
Jodie_Foster&1,Jodie_Foster&2,[0.31440073]
John_Manley&1,John_Manley&6,[0.76699334]
John_Manley&2,John_Manley&5,[0.47097003]
John_McCain&2,John_McCain&3,[0.4642287]
John_McCain&3,John_McCain&7,[0.30639732]
John_McCain&6,John_McCain&7,[0.43951076]
John_Snow&3,John_Snow&15,[0.5598533]
John_Snow&4,John_Snow&16,[0.4765349]
John_Snow&9,John_Snow&11,[0.40097803]
Johnson_Panjaitan&1,Johnson_Panjaitan&2,[0.1960082]
Jorge_Castaneda&1,Jorge_Castaneda&2,[0.4946711]
Jose_Serra&1,Jose_Serra&9,[0.3978235]
Jose_Serra&2,Jose_Serra&8,[0.32024586]
Jose_Serra&3,Jose_Serra&5,[0.5006674]
Jose_Serra&3,Jose_Serra&7,[0.47882944]
Jose_Serra&6,Jose_Serra&9,[0.46825445]
Jose_Theodore&1,Jose_Theodore&2,[0.5114364]
Joseph_Blatter&1,Joseph_Blatter&2,[0.7996423]
Joseph_Ralston&1,Joseph_Ralston&2,[0.5503857]
Juan_Pablo_Montoya&1,Juan_Pablo_Montoya&8,[0.61037564]
Juan_Pablo_Montoya&2,Juan_Pablo_Montoya&4,[0.39119518]
Juan_Pablo_Montoya&4,Juan_Pablo_Montoya&5,[0.8074666]
Julianna_Margulies&1,Julianna_Margulies&2,[0.31184304]
Justin_Guarini&1,Justin_Guarini&2,[0.4626075]
Justin_Guarini&2,Justin_Guarini&3,[0.31414795]
Justine_Henin&2,Justine_Henin&3,[0.5909282]
Kate_Winslet&1,Kate_Winslet&2,[0.67134315]
Kate_Winslet&1,Kate_Winslet&4,[0.6439991]
Kate_Winslet&2,Kate_Winslet&3,[0.74338]
Kate_Winslet&2,Kate_Winslet&4,[0.88417345]
Kathy_Winters&1,Kathy_Winters&2,[0.102754]
Kelvin_Sampson&1,Kelvin_Sampson&2,[0.5426507]
Kevin_Stallings&1,Kevin_Stallings&2,[0.6633744]
Kim_Jong-Il&2,Kim_Jong-Il&3,[0.290461]
Kristin_Davis&1,Kristin_Davis&2,[0.16557598]
Kristin_Davis&2,Kristin_Davis&3,[0.2947343]
Lance_Armstrong&1,Lance_Armstrong&17,[0.38122177]
Lance_Armstrong&5,Lance_Armstrong&10,[0.7577541]
Lance_Armstrong&7,Lance_Armstrong&11,[0.40598607]
Lance_Armstrong&10,Lance_Armstrong&18,[0.56604946]
Lance_Armstrong&14,Lance_Armstrong&17,[0.77922606]
Laurent_Jalabert&1,Laurent_Jalabert&2,[0.62521005]
Lindsey_Graham&1,Lindsey_Graham&2,[0.4875803]
Lisa_Gottsegen&1,Lisa_Gottsegen&2,[0.45477057]
Lleyton_Hewitt&1,Lleyton_Hewitt&13,[0.4479859]
Lleyton_Hewitt&16,Lleyton_Hewitt&27,[0.30419225]
Lleyton_Hewitt&18,Lleyton_Hewitt&37,[0.4739439]
Lleyton_Hewitt&24,Lleyton_Hewitt&36,[0.3709606]
Luis_Ernesto_Derbez_Bautista&3,Luis_Ernesto_Derbez_Bautista&6,[0.6546165]
Mario_Dumont&1,Mario_Dumont&2,[0.47467923]
Mark_Wahlberg&1,Mark_Wahlberg&3,[0.8683457]
Mark_Wahlberg&2,Mark_Wahlberg&3,[0.9058373]
Mark_Wahlberg&2,Mark_Wahlberg&4,[0.8003977]
Marlene_Weingartner&1,Marlene_Weingartner&2,[0.72066873]
Martha_Bowen&1,Martha_Bowen&2,[0.45249152]
Martin_Cauchon&1,Martin_Cauchon&2,[0.33434612]
Martin_Hoellwarth&1,Martin_Hoellwarth&2,[0.6874138]
Martin_Sheen&1,Martin_Sheen&2,[0.6620381]
Matthew_Broderick&1,Matthew_Broderick&4,[0.67896056]
Matthew_Broderick&2,Matthew_Broderick&3,[0.6465033]
Mike_Krzyzewski&1,Mike_Krzyzewski&6,[0.65401447]
Mikhail_Gorbachev&1,Mikhail_Gorbachev&2,[0.43246615]
Monica_Bellucci&1,Monica_Bellucci&4,[0.58223855]
Monica_Bellucci&2,Monica_Bellucci&4,[0.51047045]
Naomi_Campbell&1,Naomi_Campbell&2,[0.36745673]
Nestor_Kirchner&3,Nestor_Kirchner&30,[0.53486216]
Nestor_Kirchner&12,Nestor_Kirchner&21,[0.59696716]
Nestor_Kirchner&17,Nestor_Kirchner&25,[0.61957455]
Nicolas_Lapentti&1,Nicolas_Lapentti&2,[0.5450965]
Noah_Wyle&2,Noah_Wyle&3,[0.44624943]
Nora_Bendijo&1,Nora_Bendijo&2,[0.7218693]
Nursultan_Nazarbayev&1,Nursultan_Nazarbayev&2,[0.6274623]
Pamela_Anderson&1,Pamela_Anderson&2,[0.33743364]
Pamela_Anderson&1,Pamela_Anderson&5,[0.55606955]
Patricia_Heaton&1,Patricia_Heaton&2,[0.342175]
Patty_Schnyder&1,Patty_Schnyder&2,[0.62894]
Patty_Schnyder&2,Patty_Schnyder&3,[0.5282188]
Patty_Schnyder&2,Patty_Schnyder&4,[0.48770767]
Patty_Schnyder&3,Patty_Schnyder&4,[0.50244343]
Paul_Bremer&6,Paul_Bremer&17,[0.5598826]
Paul_Bremer&7,Paul_Bremer&10,[0.37822747]
Paul_Bremer&9,Paul_Bremer&15,[0.39463687]
Paul_Bremer&14,Paul_Bremer&16,[0.31708992]
Paul_Sarbanes&1,Paul_Sarbanes&3,[0.57122046]
Paul_Sarbanes&2,Paul_Sarbanes&3,[0.6017537]
Paul_William_Hurley&1,Paul_William_Hurley&2,[0.30627275]
Pervez_Musharraf&1,Pervez_Musharraf&6,[0.6032736]
Pervez_Musharraf&2,Pervez_Musharraf&16,[0.5751442]
Pervez_Musharraf&3,Pervez_Musharraf&10,[0.36412013]
Pervez_Musharraf&4,Pervez_Musharraf&14,[0.5042347]
Pervez_Musharraf&5,Pervez_Musharraf&7,[0.9375155]
Pervez_Musharraf&5,Pervez_Musharraf&15,[0.80735624]
Phil_Gramm&1,Phil_Gramm&2,[0.7954582]
Prince_Edward&1,Prince_Edward&2,[0.63276637]
Ricardo_Lagos&3,Ricardo_Lagos&12,[0.38805163]
Ricardo_Lagos&23,Ricardo_Lagos&27,[0.4952283]
Ricardo_Monasterio&1,Ricardo_Monasterio&2,[0.43366432]
Rich_Gannon&1,Rich_Gannon&2,[0.45266056]
Rick_Perry&1,Rick_Perry&4,[0.6695875]
Rick_Perry&1,Rick_Perry&5,[0.5492781]
Rick_Perry&2,Rick_Perry&4,[0.54122734]
Rick_Perry&3,Rick_Perry&4,[0.42109466]
Robert_Bonner&2,Robert_Bonner&3,[0.5317008]
Robert_Evans&2,Robert_Evans&3,[0.4220723]
Robert_Fico&1,Robert_Fico&2,[0.6086272]
Romano_Prodi&3,Romano_Prodi&5,[0.8648037]
Roy_Moore&2,Roy_Moore&5,[0.5486162]
Roy_Moore&3,Roy_Moore&6,[0.83070076]
Sachiko_Yamada&1,Sachiko_Yamada&2,[0.24020284]
Sachiko_Yamada&1,Sachiko_Yamada&4,[0.5099487]
Sachiko_Yamada&2,Sachiko_Yamada&3,[0.2644589]
Sachiko_Yamada&2,Sachiko_Yamada&4,[0.5523525]
Saeb_Erekat&1,Saeb_Erekat&2,[0.5694179]
Sam_Bith&1,Sam_Bith&2,[0.50100124]
Sam_Bith&1,Sam_Bith&3,[0.6229696]
Sam_Bith&2,Sam_Bith&3,[0.62954986]
Sean_Hayes&1,Sean_Hayes&2,[0.2399993]
Sergio_Garcia&1,Sergio_Garcia&2,[0.6482655]
Silvia_Farina_Elia&1,Silvia_Farina_Elia&2,[0.5381116]
Steve_Ballmer&1,Steve_Ballmer&2,[0.583606]
Steve_Ballmer&1,Steve_Ballmer&3,[0.5479549]
Stockard_Channing&1,Stockard_Channing&3,[0.35373843]
Stockard_Channing&2,Stockard_Channing&3,[0.42341393]
Terry_McAuliffe&1,Terry_McAuliffe&2,[0.6830617]
Terry_McAuliffe&1,Terry_McAuliffe&3,[0.6278971]
Thomas_Rupprath&1,Thomas_Rupprath&3,[0.823713]
