person1&ImgN,person2&ImgN,distance,Retina on person1,Retina on person2,LightCNN on person1,LightCNN on person2
Abel_Pacheco&1,Abel_Pacheco&4,[0.7609788]
Akhmed_Zakayev&1,Akhmed_Zakayev&3,[0.4405154]
Akhmed_Zakayev&2,Akhmed_Zakayev&3,[0.5178543]
Amber_Tamblyn&1,Amber_Tamblyn&2,[0.24588424]
Anders_Fogh_Rasmussen&1,Anders_Fogh_Rasmussen&3,[0.5983329]
Anders_Fogh_Rasmussen&1,Anders_Fogh_Rasmussen&4,[0.7801046]
Angela_Bassett&1,Angela_Bassett&5,[0.13471127]
Angela_Bassett&2,Angela_Bassett&5,[0.35851485]
Angela_Bassett&3,Angela_Bassett&4,[0.6206932]
Ann_Veneman&3,Ann_Veneman&5,[0.26759005]
Ann_Veneman&6,Ann_Veneman&10,[0.3728032]
Ann_Veneman&10,Ann_Veneman&11,[0.52779275]
Anthony_Fauci&1,Anthony_Fauci&2,[0.2488569]
Antony_Leung&1,Antony_Leung&2,[0.43906546]
Antony_Leung&2,Antony_Leung&3,[0.5979528]
Anwar_Ibrahim&1,Anwar_Ibrahim&2,[0.8023654]
Augusto_Pinochet&1,Augusto_Pinochet&2,[0.22370899]
Barbara_Brezigar&1,Barbara_Brezigar&2,[0.53349894]
Benjamin_Netanyahu&1,Benjamin_Netanyahu&4,[0.6126685]
Benjamin_Netanyahu&4,Benjamin_Netanyahu&5,[0.7621243]
Bernard_Law&2,Bernard_Law&3,[0.6478412]
Bernard_Law&3,Bernard_Law&4,[0.5985132]
Bertrand_Bonello&1,Bertrand_Bonello&2,[0.32501513]
Bill_Frist&2,Bill_Frist&9,[0.5520029]
Bill_Frist&4,Bill_Frist&5,[0.79411393]
Bob_Graham&2,Bob_Graham&4,[0.44443113]
Bob_Graham&3,Bob_Graham&6,[0.33770394]
Bob_Graham&4,Bob_Graham&6,[0.46647513]
Bob_Graham&5,Bob_Graham&6,[0.4686494]
Boris_Becker&2,Boris_Becker&6,[0.39331973]
Brad_Johnson&1,Brad_Johnson&3,[0.5294567]
Brad_Johnson&2,Brad_Johnson&3,[0.35620666]
Brad_Johnson&2,Brad_Johnson&4,[0.5963399]
Brian_Griese&1,Brian_Griese&2,[0.44454163]
Candice_Bergen&1,Candice_Bergen&2,[0.7822882]
Candice_Bergen&2,Candice_Bergen&3,[0.39721775]
Carla_Myers&1,Carla_Myers&2,[0.2897517]
Cathy_Freeman&1,Cathy_Freeman&2,[0.5379539]
Chang_Dae-whan&1,Chang_Dae-whan&2,[0.58824337]
Charles_Grassley&1,Charles_Grassley&2,[0.56722]
Clare_Short&1,Clare_Short&3,[0.642926]
Clare_Short&1,Clare_Short&4,[0.5652261]
Corinne_Coman&1,Corinne_Coman&2,[0.375547]
Dai_Bachtiar&1,Dai_Bachtiar&2,[0.3933041]
Dale_Earnhardt_Jr&1,Dale_Earnhardt_Jr&3,[0.72815186]
David_Caruso&1,David_Caruso&2,[0.41183764]
Demi_Moore&1,Demi_Moore&3,[0.46947825]
Dick_Vermeil&1,Dick_Vermeil&2,[0.6138396]
Doris_Roberts&1,Doris_Roberts&2,[0.30949962]
Doris_Roberts&1,Doris_Roberts&3,[0.20336914]
Drew_Barrymore&1,Drew_Barrymore&2,[0.57015693]
Edmund_Stoiber&4,Edmund_Stoiber&7,[0.4254297]
Edmund_Stoiber&5,Edmund_Stoiber&7,[0.5427718]
Edmund_Stoiber&7,Edmund_Stoiber&12,[0.5529068]
Edmund_Stoiber&9,Edmund_Stoiber&11,[0.5128117]
Elinor_Caplan&1,Elinor_Caplan&2,[0.5011022]
Emmanuelle_Beart&1,Emmanuelle_Beart&2,[0.41046673]
Emmanuelle_Beart&1,Emmanuelle_Beart&3,[0.19517803]
Federico_Trillo&1,Federico_Trillo&2,[0.72239166]
Federico_Trillo&1,Federico_Trillo&3,[0.8006827]
Federico_Trillo&2,Federico_Trillo&3,[0.51461613]
Francis_Ford_Coppola&1,Francis_Ford_Coppola&2,[0.48851883]
Fred_Thompson&1,Fred_Thompson&2,[0.59977]
Fred_Thompson&1,Fred_Thompson&3,[0.4966759]
Fred_Thompson&2,Fred_Thompson&3,[0.5161049]
Garry_Trudeau&1,Garry_Trudeau&2,[0.47646332]
Gary_Williams&1,Gary_Williams&2,[0.6113623]
Gene_Robinson&1,Gene_Robinson&2,[0.5928198]
Gene_Robinson&1,Gene_Robinson&3,[0.7970464]
Gene_Robinson&2,Gene_Robinson&3,[0.63227713]
George_Galloway&1,George_Galloway&3,[0.6588018]
George_Galloway&2,George_Galloway&3,[0.35442543]
George_Galloway&2,George_Galloway&4,[0.7141098]
Geraldine_Chaplin&1,Geraldine_Chaplin&2,[0.3951944]
Geraldine_Chaplin&1,Geraldine_Chaplin&4,[0.45684147]
Geraldine_Chaplin&3,Geraldine_Chaplin&4,[0.26117337]
Gerardo_Gambala&1,Gerardo_Gambala&2,[0.5785975]
Gian_Marco&1,Gian_Marco&2,[0.4111905]
Gian_Marco&2,Gian_Marco&3,[0.6145259]
Gillian_Anderson&1,Gillian_Anderson&2,[0.6489157]
Gordon_Brown&6,Gordon_Brown&9,[0.34840137]
Gordon_Brown&10,Gordon_Brown&13,[0.55635095]
Grant_Hackett&1,Grant_Hackett&2,[0.37110102]
Grant_Hackett&1,Grant_Hackett&3,[0.35307115]
Grant_Hackett&1,Grant_Hackett&5,[0.4058913]
Gray_Davis&7,Gray_Davis&22,[0.42675775]
Gray_Davis&21,Gray_Davis&26,[0.38498402]
Gregg_Popovich&1,Gregg_Popovich&5,[0.68895817]
Gregg_Popovich&3,Gregg_Popovich&4,[0.7033672]
Guy_Ritchie&1,Guy_Ritchie&2,[0.66519535]
Hamzah_Haz&1,Hamzah_Haz&2,[0.43467224]
Harbhajan_Singh&1,Harbhajan_Singh&2,[0.3007936]
Hootie_Johnson&1,Hootie_Johnson&2,[0.84225726]
Hugo_Chavez&2,Hugo_Chavez&27,[0.71960795]
Hugo_Chavez&27,Hugo_Chavez&53,[0.4509676]
Hugo_Chavez&36,Hugo_Chavez&51,[0.40370357]
Hugo_Chavez&41,Hugo_Chavez&50,[0.61846477]
Hugo_Chavez&45,Hugo_Chavez&56,[0.41696137]
Isaiah_Washington&1,Isaiah_Washington&2,[0.49049723]
Jack_Grubman&1,Jack_Grubman&2,[0.3085884]
