person1&ImgN,person2&ImgN,distance,Retina on person1,Retina on person2,LightCNN on person1,LightCNN on person2
Abel_Pacheco&1,Abel_Pacheco&4,[0.5084127]
Akhmed_Zakayev&1,Akhmed_Zakayev&3,[0.3576585]
Akhmed_Zakayev&2,Akhmed_Zakayev&3,[0.5011469]
Amber_Tamblyn&1,Amber_Tamblyn&2,[0.29162073]
Anders_Fogh_Rasmussen&1,Anders_Fogh_Rasmussen&3,[0.40738213]
Anders_Fogh_Rasmussen&1,Anders_Fogh_Rasmussen&4,[0.64172256]
Angela_Bassett&1,Angela_Bassett&5,[0.25080907]
Angela_Bassett&2,Angela_Bassett&5,[0.47629791]
Angela_Bassett&3,Angela_Bassett&4,[0.55648637]
Ann_Veneman&3,Ann_Veneman&5,[0.33897364]
Ann_Veneman&6,Ann_Veneman&10,[0.4641953]
Ann_Veneman&10,Ann_Veneman&11,[0.5555165]
Anthony_Fauci&1,Anthony_Fauci&2,[0.31898916]
Antony_Leung&1,Antony_Leung&2,[0.37564468]
Antony_Leung&2,Antony_Leung&3,[0.31322563]
Anwar_Ibrahim&1,Anwar_Ibrahim&2,[0.4792245]
Augusto_Pinochet&1,Augusto_Pinochet&2,[0.28108025]
Barbara_Brezigar&1,Barbara_Brezigar&2,[0.47839367]
Benjamin_Netanyahu&1,Benjamin_Netanyahu&4,[0.3756985]
Benjamin_Netanyahu&4,Benjamin_Netanyahu&5,[0.4366182]
Bernard_Law&2,Bernard_Law&3,[0.63335717]
Bernard_Law&3,Bernard_Law&4,[0.57270837]
Bertrand_Bonello&1,Bertrand_Bonello&2,[0.4400574]
Bill_Frist&2,Bill_Frist&9,[0.56212634]
Bill_Frist&4,Bill_Frist&5,[0.69366187]
Bob_Graham&2,Bob_Graham&4,[0.36571044]
Bob_Graham&3,Bob_Graham&6,[0.2689494]
Bob_Graham&4,Bob_Graham&6,[0.43363112]
Bob_Graham&5,Bob_Graham&6,[0.40966225]
Boris_Becker&2,Boris_Becker&6,[0.45076007]
Brad_Johnson&1,Brad_Johnson&3,[0.47958004]
Brad_Johnson&2,Brad_Johnson&3,[0.4575541]
Brad_Johnson&2,Brad_Johnson&4,[0.4867146]
Brian_Griese&1,Brian_Griese&2,[0.25172973]
Candice_Bergen&1,Candice_Bergen&2,[0.5226451]
Candice_Bergen&2,Candice_Bergen&3,[0.5138952]
Carla_Myers&1,Carla_Myers&2,[0.28082407]
Cathy_Freeman&1,Cathy_Freeman&2,[0.57810616]
Chang_Dae-whan&1,Chang_Dae-whan&2,[0.28404164]
