person1&ImgN,person2&ImgN,distance,Retina on person1,Retina on person2,LightCNN on person1,LightCNN on person2
Abel_Pacheco&1,Abel_Pacheco&4,[0.46013892]
Akhmed_Zakayev&1,Akhmed_Zakayev&3,[0.3457433]
Akhmed_Zakayev&2,Akhmed_Zakayev&3,[0.44325638]
Amber_Tamblyn&1,Amber_Tamblyn&2,[0.24442321]
Anders_Fogh_Rasmussen&1,Anders_Fogh_Rasmussen&3,[0.3132894]
Anders_Fogh_Rasmussen&1,Anders_Fogh_Rasmussen&4,[0.4504199]
Angela_Bassett&1,Angela_Bassett&5,[0.19897842]
Angela_Bassett&2,Angela_Bassett&5,[0.4903702]
Angela_Bassett&3,Angela_Bassett&4,[0.3940152]
Ann_Veneman&3,Ann_Veneman&5,[0.21091437]
Ann_Veneman&6,Ann_Veneman&10,[0.4669608]
Ann_Veneman&10,Ann_Veneman&11,[0.5084516]
Anthony_Fauci&1,Anthony_Fauci&2,[0.25844008]
Antony_Leung&1,Antony_Leung&2,[0.3289703]
Antony_Leung&2,Antony_Leung&3,[0.34778273]
Anwar_Ibrahim&1,Anwar_Ibrahim&2,[0.48579764]
Augusto_Pinochet&1,Augusto_Pinochet&2,[0.2355479]
Barbara_Brezigar&1,Barbara_Brezigar&2,[0.50089896]
Benjamin_Netanyahu&1,Benjamin_Netanyahu&4,[0.4153306]
Benjamin_Netanyahu&4,Benjamin_Netanyahu&5,[0.5352694]
Bernard_Law&2,Bernard_Law&3,[0.5874492]
Bernard_Law&3,Bernard_Law&4,[0.51882404]
Bertrand_Bonello&1,Bertrand_Bonello&2,[0.33821]
Bill_Frist&2,Bill_Frist&9,[0.5197631]
Bill_Frist&4,Bill_Frist&5,[0.67036057]
Bob_Graham&2,Bob_Graham&4,[0.30875498]
Bob_Graham&3,Bob_Graham&6,[0.29858476]
Bob_Graham&4,Bob_Graham&6,[0.331231]
Bob_Graham&5,Bob_Graham&6,[0.34552205]
Boris_Becker&2,Boris_Becker&6,[0.4265644]
Brad_Johnson&1,Brad_Johnson&3,[0.35708052]
Brad_Johnson&2,Brad_Johnson&3,[0.37789947]
Brad_Johnson&2,Brad_Johnson&4,[0.4355231]
Brian_Griese&1,Brian_Griese&2,[0.24637055]
Candice_Bergen&1,Candice_Bergen&2,[0.66823244]
Candice_Bergen&2,Candice_Bergen&3,[0.41507077]
Carla_Myers&1,Carla_Myers&2,[0.36107165]
Cathy_Freeman&1,Cathy_Freeman&2,[0.5323863]
Chang_Dae-whan&1,Chang_Dae-whan&2,[0.31192517]
Charles_Grassley&1,Charles_Grassley&2,[0.42005205]
Clare_Short&1,Clare_Short&3,[0.43057382]
Clare_Short&1,Clare_Short&4,[0.33519232]
Corinne_Coman&1,Corinne_Coman&2,[0.33704]
Dai_Bachtiar&1,Dai_Bachtiar&2,[0.31706125]
Dale_Earnhardt_Jr&1,Dale_Earnhardt_Jr&3,[0.6117624]
David_Caruso&1,David_Caruso&2,[0.36953813]
Demi_Moore&1,Demi_Moore&3,[0.37434143]
Dick_Vermeil&1,Dick_Vermeil&2,[0.4976172]
Doris_Roberts&1,Doris_Roberts&2,[0.38603747]
Doris_Roberts&1,Doris_Roberts&3,[0.29508382]
Drew_Barrymore&1,Drew_Barrymore&2,[0.55300045]
Edmund_Stoiber&4,Edmund_Stoiber&7,[0.48994118]
Edmund_Stoiber&5,Edmund_Stoiber&7,[0.45299423]
Edmund_Stoiber&7,Edmund_Stoiber&12,[0.5614766]
Edmund_Stoiber&9,Edmund_Stoiber&11,[0.5143133]
Elinor_Caplan&1,Elinor_Caplan&2,[0.36625826]
Emmanuelle_Beart&1,Emmanuelle_Beart&2,[0.2880305]
Emmanuelle_Beart&1,Emmanuelle_Beart&3,[0.18292952]
Federico_Trillo&1,Federico_Trillo&2,[0.6062962]
Federico_Trillo&1,Federico_Trillo&3,[0.6199274]
Federico_Trillo&2,Federico_Trillo&3,[0.46234107]
Francis_Ford_Coppola&1,Francis_Ford_Coppola&2,[0.42498899]
Fred_Thompson&1,Fred_Thompson&2,[0.4403631]
Fred_Thompson&1,Fred_Thompson&3,[0.46703434]
Fred_Thompson&2,Fred_Thompson&3,[0.39274025]
Garry_Trudeau&1,Garry_Trudeau&2,[0.40142918]
Gary_Williams&1,Gary_Williams&2,[0.4126295]
Gene_Robinson&1,Gene_Robinson&2,[0.40386784]
Gene_Robinson&1,Gene_Robinson&3,[0.43296814]
Gene_Robinson&2,Gene_Robinson&3,[0.42361408]
George_Galloway&1,George_Galloway&3,[0.49304587]
George_Galloway&2,George_Galloway&3,[0.17703646]
George_Galloway&2,George_Galloway&4,[0.53817976]
Geraldine_Chaplin&1,Geraldine_Chaplin&2,[0.35797644]
Geraldine_Chaplin&1,Geraldine_Chaplin&4,[0.5962951]
Geraldine_Chaplin&3,Geraldine_Chaplin&4,[0.25061822]
Gerardo_Gambala&1,Gerardo_Gambala&2,[0.37346482]
Gian_Marco&1,Gian_Marco&2,[0.2512672]
Gian_Marco&2,Gian_Marco&3,[0.33650786]
Gillian_Anderson&1,Gillian_Anderson&2,[0.49012852]
Gordon_Brown&6,Gordon_Brown&9,[0.3170371]
Gordon_Brown&10,Gordon_Brown&13,[0.43871927]
Grant_Hackett&1,Grant_Hackett&2,[0.3172233]
Grant_Hackett&1,Grant_Hackett&3,[0.24861556]
Grant_Hackett&1,Grant_Hackett&5,[0.3468839]
Gray_Davis&7,Gray_Davis&22,[0.41467452]
Gray_Davis&21,Gray_Davis&26,[0.296252]
Gregg_Popovich&1,Gregg_Popovich&5,[0.3943045]
Gregg_Popovich&3,Gregg_Popovich&4,[0.38180792]
Guy_Ritchie&1,Guy_Ritchie&2,[0.61772174]
Hamzah_Haz&1,Hamzah_Haz&2,[0.34490818]
Harbhajan_Singh&1,Harbhajan_Singh&2,[0.31047702]
Hootie_Johnson&1,Hootie_Johnson&2,[0.6593236]
Hugo_Chavez&2,Hugo_Chavez&27,[0.63720036]
Hugo_Chavez&27,Hugo_Chavez&53,[0.41144168]
Hugo_Chavez&36,Hugo_Chavez&51,[0.29341674]
Hugo_Chavez&41,Hugo_Chavez&50,[0.3254279]
Hugo_Chavez&45,Hugo_Chavez&56,[0.39741695]
